country_code,country_name,year,capitalism_type,region,development_level,size_category,gdp,gdp_growth,gdp_per_capita,unemployment_rate,inflation_rate,population,wage_share,gini_coefficient,gov_spending_gdp,gov_debt_gdp,private_debt_gdp,financial_development_index,trade_openness,current_account_gdp,fdi_inflows_gdp,union_density,employment_protection,crisis_year
USA,United States,1989,LME,North America,Advanced,Large,6298.15,3.56,2.77,5.83,2.65,2273.19,58.32,0.407,38.93,39.83,104.65,0.715,27.45,-6.06,0.87,25.05,1.16,0
USA,United States,1990,LME,North America,Advanced,Large,6209.19,-1.41,2.72,7.36,2.29,2284.55,58.13,0.396,34.7,48.1,108.49,0.662,31.28,-0.34,-0.52,25.14,0.86,1
USA,United States,1991,LME,North America,Advanced,Large,6293.53,1.36,2.74,7.13,2.44,2295.98,53.85,0.405,36.12,48.77,97.97,0.715,32.76,-1.0,-0.63,26.39,0.86,0
USA,United States,1992,LME,North America,Advanced,Large,6374.39,1.28,2.76,7.48,1.97,2307.46,55.09,0.451,33.41,49.5,97.65,0.662,27.4,-1.15,1.34,23.91,1.17,0
USA,United States,1993,LME,North America,Advanced,Large,6599.37,3.53,2.85,6.11,0.06,2318.99,54.0,0.396,34.54,47.99,111.75,0.675,32.02,-1.52,1.27,22.84,1.05,0
USA,United States,1994,LME,North America,Advanced,Large,6475.87,-1.87,2.78,7.28,3.5,2330.59,56.97,0.421,35.04,56.82,120.49,0.749,28.72,-1.39,0.97,18.4,1.02,1
USA,United States,1995,LME,North America,Advanced,Large,6603.77,1.97,2.82,6.94,1.07,2342.24,59.05,0.415,36.99,56.71,122.03,0.755,38.56,-1.01,0.1,24.14,1.0,0
USA,United States,1996,LME,North America,Advanced,Large,6734.64,1.98,2.86,5.58,2.37,2353.95,57.52,0.411,32.12,56.6,131.84,0.746,29.58,-3.39,1.91,19.09,0.73,0
USA,United States,1997,LME,North America,Advanced,Large,7089.44,5.27,3.0,5.18,2.77,2365.72,58.33,0.407,36.84,52.98,140.42,0.806,41.58,4.23,0.58,23.29,0.88,0
USA,United States,1998,LME,North America,Advanced,Large,7135.09,0.64,3.0,7.49,1.54,2377.55,54.82,0.413,35.19,54.32,133.86,0.71,31.82,3.68,1.71,16.56,0.97,0
USA,United States,1999,LME,North America,Advanced,Large,7306.63,2.4,3.06,6.04,2.04,2389.44,53.4,0.404,32.56,53.81,125.78,0.713,39.1,-6.01,1.77,23.68,0.66,0
USA,United States,2000,LME,North America,Advanced,Large,7358.4,0.71,3.06,7.36,2.93,2401.39,53.9,0.403,33.91,55.08,130.29,0.783,33.71,-3.3,2.75,20.5,1.06,0
USA,United States,2001,LME,North America,Advanced,Large,7501.89,1.95,3.11,7.25,3.25,2413.39,53.49,0.411,32.56,55.03,115.89,0.763,31.31,-5.55,2.49,21.13,0.88,0
USA,United States,2002,LME,North America,Advanced,Large,7760.33,3.45,3.2,7.04,0.95,2425.46,56.93,0.417,34.11,53.41,115.53,0.74,34.46,-5.63,3.78,21.26,0.81,0
USA,United States,2003,LME,North America,Advanced,Large,7852.29,1.18,3.22,7.09,3.03,2437.59,57.12,0.411,36.0,54.18,115.38,0.768,24.19,-10.08,-0.01,19.85,0.83,0
USA,United States,2004,LME,North America,Advanced,Large,8107.75,3.25,3.31,6.87,3.51,2449.78,57.54,0.416,36.53,52.79,112.08,0.771,23.03,1.73,1.35,17.9,0.55,0
USA,United States,2005,LME,North America,Advanced,Large,8470.2,4.47,3.44,6.33,0.84,2462.02,56.84,0.421,33.75,50.2,119.62,0.865,27.71,-1.73,2.77,23.03,1.04,0
USA,United States,2006,LME,North America,Advanced,Large,8331.09,-1.64,3.37,7.01,2.18,2474.33,56.96,0.416,31.49,58.84,124.74,0.73,30.89,2.62,2.8,19.29,1.26,1
USA,United States,2007,LME,North America,Advanced,Large,8644.1,3.76,3.48,6.62,2.34,2486.71,54.56,0.426,33.13,56.75,134.89,0.742,29.5,0.82,0.92,18.78,1.2,0
USA,United States,2008,LME,North America,Advanced,Large,8690.86,0.54,3.48,6.85,1.23,2499.14,53.54,0.435,35.32,58.18,136.08,0.716,33.15,-1.57,0.73,20.6,1.2,0
USA,United States,2009,LME,North America,Advanced,Large,8803.47,1.3,3.51,6.49,2.22,2511.63,55.75,0.435,33.49,58.78,145.2,0.766,23.25,1.99,0.76,17.52,0.82,0
USA,United States,2010,LME,North America,Advanced,Large,8998.65,2.22,3.56,5.68,2.73,2524.19,57.24,0.415,35.9,58.36,126.2,0.78,27.46,-1.04,-0.44,22.97,1.35,0
USA,United States,2011,LME,North America,Advanced,Large,9302.77,3.38,3.67,5.61,3.35,2536.81,56.5,0.424,34.15,56.7,137.48,0.806,27.83,0.73,2.38,17.88,0.45,0
USA,United States,2012,LME,North America,Advanced,Large,9565.95,2.83,3.75,6.37,2.65,2549.5,56.76,0.444,38.91,55.68,126.23,0.799,30.04,-3.48,0.68,19.52,0.72,0
USA,United States,2013,LME,North America,Advanced,Large,9814.43,2.6,3.83,7.22,1.43,2562.25,55.04,0.421,37.2,54.94,130.77,0.791,28.91,-2.89,3.3,17.98,1.21,0
USA,United States,2014,LME,North America,Advanced,Large,10008.0,1.97,3.89,7.31,2.83,2575.06,53.43,0.419,33.64,54.87,120.52,0.757,34.65,-2.38,2.31,18.78,1.06,0
USA,United States,2015,LME,North America,Advanced,Large,10192.23,1.84,3.94,6.79,1.88,2587.93,54.25,0.419,34.41,54.94,124.53,0.845,27.79,6.39,1.81,17.62,1.18,0
USA,United States,2016,LME,North America,Advanced,Large,10362.43,1.67,3.98,6.4,1.7,2600.87,54.92,0.42,35.55,55.18,116.89,0.813,29.15,-2.25,0.93,19.35,1.1,0
USA,United States,2017,LME,North America,Advanced,Large,10481.24,1.15,4.01,7.71,3.47,2613.88,55.19,0.423,37.76,55.98,124.42,0.833,24.64,2.34,3.42,18.19,0.97,0
USA,United States,2018,LME,North America,Advanced,Large,10745.8,2.52,4.09,6.29,1.91,2626.95,56.99,0.432,31.14,55.3,134.28,0.82,37.54,-4.98,0.44,19.03,1.06,0
USA,United States,2019,LME,North America,Advanced,Large,11270.95,4.89,4.27,5.17,3.9,2640.08,56.74,0.421,34.22,52.16,138.84,0.792,25.31,-6.75,3.36,18.46,0.71,0
USA,United States,2020,LME,North America,Advanced,Large,11509.35,2.12,4.34,7.33,2.5,2653.28,56.57,0.42,32.89,52.0,146.36,0.801,29.8,-4.33,2.79,17.31,1.37,0
USA,United States,2021,LME,North America,Advanced,Large,11991.09,4.19,4.5,5.53,2.9,2666.55,56.83,0.421,35.12,49.73,142.97,0.812,28.06,-3.73,1.49,20.29,0.96,0
USA,United States,2022,LME,North America,Advanced,Large,11705.07,-2.39,4.37,8.1,0.99,2679.88,55.27,0.436,35.79,59.11,142.1,0.776,28.32,-3.41,1.74,18.79,1.06,1
USA,United States,2023,LME,North America,Advanced,Large,11853.95,1.27,4.4,6.41,2.76,2693.28,55.89,0.419,38.99,59.72,137.08,0.896,19.19,-8.75,2.58,20.6,0.96,0
USA,United States,2024,LME,North America,Advanced,Large,12003.24,1.26,4.43,6.75,2.21,2706.75,52.96,0.432,31.61,60.34,126.2,0.788,15.17,-1.03,0.24,17.51,0.94,0
GBR,United Kingdom,1970,LME,Europe,Advanced,Large,3539.33,1.59,2.0,5.14,2.26,1769.67,59.38,0.373,36.13,30.56,78.14,0.396,34.99,0.34,2.53,35.21,1.0,0
GBR,United Kingdom,1971,LME,Europe,Advanced,Large,3572.8,0.95,2.01,4.11,2.13,1778.52,60.91,0.398,32.13,31.8,90.26,0.455,32.56,5.86,1.44,31.75,0.92,0
GBR,United Kingdom,1972,LME,Europe,Advanced,Large,3700.33,3.57,2.07,4.53,2.46,1787.41,61.84,0.369,36.41,30.88,94.36,0.536,31.93,-3.41,1.11,30.22,0.76,0
GBR,United Kingdom,1973,LME,Europe,Advanced,Large,3783.37,2.24,2.11,4.48,2.76,1796.35,60.36,0.383,37.28,31.06,88.19,0.541,29.78,2.67,-0.99,35.78,1.07,0
GBR,United Kingdom,1974,LME,Europe,Advanced,Large,3960.44,4.68,2.19,3.53,1.68,1805.33,59.89,0.369,36.57,29.27,96.54,0.612,27.07,-2.05,2.68,33.04,0.62,0
GBR,United Kingdom,1975,LME,Europe,Advanced,Large,4027.02,1.68,2.22,3.65,3.26,1814.35,56.81,0.387,35.01,29.94,96.91,0.514,28.35,-1.16,1.46,31.92,0.94,0
GBR,United Kingdom,1976,LME,Europe,Advanced,Large,4056.06,0.72,2.22,5.08,2.51,1823.43,56.23,0.404,36.06,31.36,97.56,0.515,37.78,-3.44,1.15,30.76,0.93,0
GBR,United Kingdom,1977,LME,Europe,Advanced,Large,4154.55,2.43,2.27,3.97,1.8,1832.54,55.99,0.403,34.54,31.38,86.89,0.582,29.62,-2.56,2.43,26.54,0.72,0
GBR,United Kingdom,1978,LME,Europe,Advanced,Large,4184.63,0.72,2.27,5.11,1.66,1841.71,60.17,0.387,32.5,32.8,88.74,0.707,37.28,-0.8,3.21,26.24,1.03,0
GBR,United Kingdom,1979,LME,Europe,Advanced,Large,4328.61,3.44,2.34,3.14,2.52,1850.91,61.48,0.388,36.03,31.95,76.59,0.56,28.08,-0.46,1.35,30.79,0.99,0
GBR,United Kingdom,1980,LME,Europe,Advanced,Large,4435.85,2.48,2.38,4.38,2.97,1860.17,61.48,0.408,35.58,31.92,88.71,0.678,29.05,-2.1,2.18,26.4,1.33,0
GBR,United Kingdom,1981,LME,Europe,Advanced,Large,4533.47,2.2,2.43,3.6,1.73,1869.47,58.9,0.4,31.54,32.11,97.39,0.56,32.74,3.23,0.39,26.38,1.05,0
GBR,United Kingdom,1982,LME,Europe,Advanced,Large,4606.82,1.62,2.45,3.86,2.4,1878.82,58.13,0.401,37.9,32.79,86.22,0.682,32.55,-5.92,1.72,23.85,1.24,0
GBR,United Kingdom,1983,LME,Europe,Advanced,Large,4709.88,2.24,2.49,4.12,0.44,1888.21,55.17,0.391,34.42,32.93,116.86,0.643,26.2,4.58,0.9,26.54,1.16,0
GBR,United Kingdom,1984,LME,Europe,Advanced,Large,4793.42,1.77,2.53,5.13,0.91,1897.65,56.36,0.409,31.31,33.46,112.22,0.65,30.49,-1.12,3.04,28.69,0.92,0
GBR,United Kingdom,1985,LME,Europe,Advanced,Large,4964.03,3.56,2.6,4.06,2.53,1907.14,55.18,0.404,36.08,32.49,126.88,0.65,32.56,-0.89,3.32,23.27,1.26,0
GBR,United Kingdom,1986,LME,Europe,Advanced,Large,5135.58,3.46,2.68,3.93,1.17,1916.68,57.16,0.404,36.54,31.64,113.87,0.576,22.43,3.31,-1.59,30.7,0.91,0
GBR,United Kingdom,1987,LME,Europe,Advanced,Large,5259.27,2.41,2.73,3.93,1.78,1926.26,59.63,0.417,33.84,31.67,118.6,0.621,27.63,1.73,1.04,26.71,1.02,0
GBR,United Kingdom,1988,LME,Europe,Advanced,Large,5209.66,-0.94,2.69,4.74,2.33,1935.89,59.24,0.402,35.76,39.44,109.68,0.71,29.48,-3.27,0.74,28.08,0.85,1
GBR,United Kingdom,1989,LME,Europe,Advanced,Large,5385.29,3.37,2.77,2.78,1.5,1945.57,57.93,0.419,38.21,38.43,100.44,0.707,35.34,-6.57,1.18,22.92,1.3,0
GBR,United Kingdom,1990,LME,Europe,Advanced,Large,5386.29,0.02,2.75,4.9,3.15,1955.3,54.59,0.405,34.94,40.41,107.27,0.693,30.12,0.39,0.9,21.43,0.73,0
GBR,United Kingdom,1991,LME,Europe,Advanced,Large,5535.9,2.78,2.82,4.15,3.05,1965.07,56.48,0.421,33.36,39.9,115.54,0.685,30.1,-0.77,1.66,24.32,1.23,0
GBR,United Kingdom,1992,LME,Europe,Advanced,Large,5629.14,1.68,2.85,3.88,2.26,1974.9,54.09,0.41,34.24,40.39,100.68,0.742,47.18,-7.73,2.61,19.85,0.95,0
GBR,United Kingdom,1993,LME,Europe,Advanced,Large,5749.08,2.13,2.9,4.13,2.59,1984.77,54.54,0.424,36.0,40.46,109.25,0.651,38.17,0.45,1.72,27.03,0.74,0
GBR,United Kingdom,1994,LME,Europe,Advanced,Large,5834.19,1.48,2.92,5.06,3.54,1994.7,55.65,0.416,31.86,41.12,110.35,0.842,28.91,-3.41,2.31,23.28,1.06,0
GBR,United Kingdom,1995,LME,Europe,Advanced,Large,5601.74,-3.98,2.79,5.34,3.74,2004.67,55.76,0.421,33.76,51.75,124.8,0.667,27.07,-3.61,3.33,23.45,1.36,1
GBR,United Kingdom,1996,LME,Europe,Advanced,Large,5737.61,2.43,2.85,4.24,1.27,2014.69,57.78,0.401,34.2,51.28,132.08,0.766,34.85,0.88,1.23,22.16,1.19,0
GBR,United Kingdom,1997,LME,Europe,Advanced,Large,5878.09,2.45,2.9,4.82,3.75,2024.77,58.67,0.429,33.74,50.81,130.75,0.787,36.78,0.8,0.75,22.4,0.7,0
GBR,United Kingdom,1998,LME,Europe,Advanced,Large,6088.27,3.58,2.99,3.2,1.43,2034.89,56.87,0.42,34.28,49.2,124.77,0.785,27.48,-4.5,0.69,22.25,1.04,0
GBR,United Kingdom,1999,LME,Europe,Advanced,Large,6147.78,0.98,3.01,4.92,1.65,2045.07,54.65,0.395,33.91,50.23,127.98,0.679,29.49,-2.11,0.48,22.69,1.33,0
GBR,United Kingdom,2000,LME,Europe,Advanced,Large,6255.0,1.74,3.04,5.13,1.97,2055.29,55.24,0.411,32.36,50.48,124.22,0.716,38.33,-0.29,0.75,21.24,1.19,0
GBR,United Kingdom,2001,LME,Europe,Advanced,Large,6422.41,2.68,3.11,4.39,2.89,2065.57,54.18,0.437,31.13,49.79,120.9,0.751,37.62,-8.44,2.34,20.5,0.88,0
GBR,United Kingdom,2002,LME,Europe,Advanced,Large,6578.52,2.43,3.17,4.79,3.52,2075.9,56.26,0.408,35.48,49.37,113.06,0.752,26.93,-0.87,2.31,23.0,0.76,0
GBR,United Kingdom,2003,LME,Europe,Advanced,Large,6955.89,5.74,3.33,3.9,2.93,2086.28,57.79,0.403,37.26,45.67,114.55,0.822,34.17,-1.87,2.24,23.14,1.05,0
GBR,United Kingdom,2004,LME,Europe,Advanced,Large,7140.56,2.65,3.41,4.26,3.57,2096.71,57.65,0.414,32.54,45.13,118.49,0.778,30.7,-2.48,1.78,21.33,0.88,0
GBR,United Kingdom,2005,LME,Europe,Advanced,Large,7379.45,3.35,3.5,3.44,2.16,2107.19,55.45,0.433,36.99,43.95,130.13,0.798,25.99,-3.27,1.66,21.02,1.35,0
GBR,United Kingdom,2006,LME,Europe,Advanced,Large,7686.08,4.16,3.63,4.46,2.24,2117.73,56.03,0.401,32.41,42.04,123.34,0.787,31.8,-0.78,0.86,18.41,1.34,0
GBR,United Kingdom,2007,LME,Europe,Advanced,Large,7685.57,-0.01,3.61,4.89,1.09,2128.32,53.57,0.41,32.06,44.05,133.27,0.851,35.38,-1.65,-0.48,21.91,0.92,0
GBR,United Kingdom,2008,LME,Europe,Advanced,Large,7720.12,0.45,3.61,5.44,2.07,2138.96,52.19,0.422,37.19,45.62,134.9,0.815,28.06,-3.42,-0.09,22.6,0.54,0
GBR,United Kingdom,2009,LME,Europe,Advanced,Large,7868.83,1.93,3.66,4.8,1.95,2149.65,55.06,0.422,35.36,45.78,124.67,0.792,35.8,1.04,1.43,18.11,1.02,0
GBR,United Kingdom,2010,LME,Europe,Advanced,Large,8059.82,2.43,3.73,3.77,2.85,2160.4,54.97,0.419,31.5,45.46,144.74,0.831,39.1,1.31,0.53,20.96,0.9,0
GBR,United Kingdom,2011,LME,Europe,Advanced,Large,8293.2,2.9,3.82,4.31,3.33,2171.2,57.41,0.399,32.62,44.69,138.36,0.741,32.23,0.47,1.83,16.53,1.02,0
GBR,United Kingdom,2012,LME,Europe,Advanced,Large,8542.84,3.01,3.92,4.35,2.47,2182.06,56.88,0.418,31.58,43.84,129.78,0.824,28.02,-0.1,4.02,18.52,1.1,0
GBR,United Kingdom,2013,LME,Europe,Advanced,Large,8759.5,2.54,3.99,4.28,3.59,2192.97,57.04,0.397,33.95,43.46,121.34,0.828,26.4,-1.79,1.65,16.04,1.22,0
GBR,United Kingdom,2014,LME,Europe,Advanced,Large,9139.79,4.34,4.15,4.11,2.08,2203.93,56.08,0.421,35.13,41.41,112.17,0.817,18.84,-4.78,0.65,20.05,0.86,0
GBR,United Kingdom,2015,LME,Europe,Advanced,Large,9244.25,1.14,4.17,3.71,2.92,2214.95,52.8,0.401,35.92,42.36,122.47,0.808,34.11,-1.31,1.65,15.99,1.29,0
GBR,United Kingdom,2016,LME,Europe,Advanced,Large,9492.95,2.69,4.26,3.99,0.58,2226.03,55.67,0.416,35.15,41.88,120.01,0.759,13.9,-3.17,-0.93,17.66,0.97,0
GBR,United Kingdom,2017,LME,Europe,Advanced,Large,9565.97,0.77,4.28,4.23,3.23,2237.16,53.64,0.417,34.43,43.17,128.6,0.867,27.33,-0.73,1.3,14.94,0.73,0
GBR,United Kingdom,2018,LME,Europe,Advanced,Large,9619.52,0.56,4.28,4.69,1.06,2248.34,55.9,0.431,30.56,44.65,120.8,0.85,30.34,-1.65,2.11,18.63,0.67,0
GBR,United Kingdom,2019,LME,Europe,Advanced,Large,9775.26,1.62,4.33,4.82,3.74,2259.58,57.33,0.407,35.77,45.12,135.67,0.863,28.44,-2.1,2.05,15.42,1.08,0
GBR,United Kingdom,2020,LME,Europe,Advanced,Large,10115.02,3.48,4.45,4.42,2.67,2270.88,57.88,0.424,34.22,43.81,137.91,0.823,33.82,-6.7,0.84,18.11,0.83,0
GBR,United Kingdom,2021,LME,Europe,Advanced,Large,10408.49,2.9,4.56,4.31,3.12,2282.24,55.41,0.428,33.39,43.09,143.57,0.836,31.51,3.7,1.36,18.18,0.8,0
GBR,United Kingdom,2022,LME,Europe,Advanced,Large,10508.34,0.96,4.58,4.43,3.58,2293.65,56.08,0.424,36.8,44.2,139.68,0.806,35.93,0.35,1.93,17.64,1.29,0
GBR,United Kingdom,2023,LME,Europe,Advanced,Large,10910.57,3.83,4.73,3.56,0.72,2305.12,53.56,0.425,35.71,42.59,142.8,0.853,22.63,1.04,0.59,14.09,1.29,0
GBR,United Kingdom,2024,LME,Europe,Advanced,Large,10451.57,-4.21,4.51,5.42,2.99,2316.64,52.54,0.416,38.55,53.48,134.09,0.872,27.58,-3.36,2.57,18.76,0.98,1
CAN,Canada,1970,LME,North America,Advanced,Medium,674.33,0.54,2.0,7.31,3.72,337.17,59.16,0.393,34.75,66.12,80.83,0.4,53.35,-0.71,2.57,36.38,1.16,0
CAN,Canada,1971,LME,North America,Advanced,Medium,699.45,3.72,2.06,7.03,3.66,338.85,61.66,0.37,33.84,63.79,82.65,0.469,53.07,-3.21,3.72,34.02,0.67,0
CAN,Canada,1972,LME,North America,Advanced,Medium,687.26,-1.74,2.02,8.35,2.85,340.55,61.75,0.381,34.43,72.78,95.89,0.531,46.14,-1.09,2.98,34.16,0.98,1
CAN,Canada,1973,LME,North America,Advanced,Medium,720.88,4.89,2.11,5.29,1.89,342.25,62.45,0.362,31.89,68.77,93.52,0.575,52.46,-1.45,2.68,32.58,1.28,0
CAN,Canada,1974,LME,North America,Advanced,Medium,719.4,-0.2,2.09,8.15,2.25,343.96,59.85,0.389,32.23,71.01,97.11,0.556,53.36,-5.12,-0.01,31.09,0.93,0
CAN,Canada,1975,LME,North America,Advanced,Medium,732.02,1.75,2.12,6.89,2.44,345.68,57.46,0.403,34.94,70.89,93.0,0.635,50.58,-3.36,2.48,31.97,0.79,0
CAN,Canada,1976,LME,North America,Advanced,Medium,742.48,1.43,2.14,7.35,3.03,347.41,57.14,0.388,33.33,71.16,96.24,0.626,51.52,-4.05,2.66,28.83,0.74,0
CAN,Canada,1977,LME,North America,Advanced,Medium,756.27,1.86,2.17,6.41,1.41,349.14,57.02,0.404,34.13,70.91,91.68,0.628,46.22,-9.09,1.22,30.72,1.34,0
CAN,Canada,1978,LME,North America,Advanced,Medium,767.01,1.42,2.19,6.85,1.07,350.89,61.12,0.385,34.52,71.2,87.48,0.66,53.13,-7.03,0.99,30.76,0.83,0
CAN,Canada,1979,LME,North America,Advanced,Medium,798.97,4.17,2.27,6.18,3.62,352.64,59.02,0.4,33.56,68.15,90.29,0.541,50.93,-0.32,1.85,31.76,0.72,0
CAN,Canada,1980,LME,North America,Advanced,Medium,826.88,3.49,2.33,5.67,3.04,354.41,58.87,0.395,35.34,66.02,97.75,0.6,48.22,-7.55,1.09,29.91,1.03,0
CAN,Canada,1981,LME,North America,Advanced,Medium,859.53,3.95,2.41,6.05,4.65,356.18,58.73,0.411,37.4,63.44,98.98,0.599,57.95,-4.53,0.68,29.37,0.89,0
CAN,Canada,1982,LME,North America,Advanced,Medium,883.07,2.74,2.47,6.02,3.37,357.96,58.56,0.407,35.02,62.33,98.88,0.63,55.02,-3.03,1.97,28.74,0.96,0
CAN,Canada,1983,LME,North America,Advanced,Medium,920.29,4.21,2.56,6.35,1.48,359.75,56.07,0.397,33.85,59.6,112.65,0.653,57.47,-5.58,0.15,24.14,1.0,0
CAN,Canada,1984,LME,North America,Advanced,Medium,945.59,2.75,2.62,6.94,1.56,361.55,55.37,0.414,35.19,58.58,112.57,0.57,55.04,-7.9,2.13,27.11,1.29,0
CAN,Canada,1985,LME,North America,Advanced,Medium,969.44,2.52,2.67,7.05,2.78,363.36,57.51,0.392,35.4,57.84,123.43,0.608,47.55,-2.68,1.94,27.42,1.0,0
CAN,Canada,1986,LME,North America,Advanced,Medium,982.63,1.36,2.69,6.71,0.78,365.17,56.94,0.402,35.16,58.38,119.88,0.619,39.11,-0.5,1.95,24.16,1.11,0
CAN,Canada,1987,LME,North America,Advanced,Medium,1009.57,2.74,2.75,6.53,3.0,367.0,57.37,0.411,32.46,57.41,114.6,0.593,55.02,-4.7,-0.73,24.28,0.59,0
CAN,Canada,1988,LME,North America,Advanced,Medium,1030.84,2.11,2.79,6.81,2.19,368.83,57.79,0.401,39.64,57.14,109.36,0.663,56.11,-3.07,3.69,26.08,1.02,0
CAN,Canada,1989,LME,North America,Advanced,Medium,1060.03,2.83,2.86,7.66,3.61,370.68,58.11,0.396,32.72,56.11,109.55,0.715,45.02,-1.88,0.36,25.89,1.13,0
CAN,Canada,1990,LME,North America,Advanced,Medium,1087.29,2.57,2.92,6.88,1.84,372.53,57.03,0.408,34.51,55.38,107.19,0.654,45.78,-6.71,2.25,23.69,1.18,0
CAN,Canada,1991,LME,North America,Advanced,Medium,1087.88,0.05,2.91,7.21,2.05,374.39,55.84,0.404,32.37,57.32,102.06,0.657,46.71,-1.92,1.56,23.4,0.88,0
CAN,Canada,1992,LME,North America,Advanced,Medium,1103.84,1.47,2.93,6.71,0.71,376.27,55.33,0.396,33.06,57.75,113.08,0.661,47.25,-1.35,2.33,20.14,0.75,0
CAN,Canada,1993,LME,North America,Advanced,Medium,1135.64,2.88,3.0,7.13,3.47,378.15,56.45,0.414,30.64,56.64,112.65,0.691,43.31,0.38,1.29,23.82,0.98,0
CAN,Canada,1994,LME,North America,Advanced,Medium,1177.57,3.69,3.1,7.21,2.17,380.04,56.92,0.43,35.69,54.71,117.13,0.732,49.93,0.3,0.59,23.89,0.7,0
CAN,Canada,1995,LME,North America,Advanced,Medium,1212.84,3.0,3.18,6.44,2.52,381.94,59.34,0.415,36.54,53.57,122.82,0.667,48.6,2.11,1.01,20.12,1.17,0
CAN,Canada,1996,LME,North America,Advanced,Medium,1258.67,3.78,3.28,6.06,3.42,383.85,57.56,0.409,34.0,51.66,132.35,0.823,50.09,-9.84,1.57,24.8,1.06,0
CAN,Canada,1997,LME,North America,Advanced,Medium,1237.76,-1.66,3.21,8.34,3.11,385.77,58.33,0.413,37.79,60.35,119.87,0.656,47.57,-5.94,0.8,19.63,1.05,1
